words,freq
and let,2817
all have,2811
the bottom,2809
a more,2808
is now,2803
ill have,2801
what if,2801
or to,2799
it when,2798
it as,2795
i started,2790
a big,2789
the days,2789
where it,2788
with him,2785
would you,2785
willing to,2779
to being,2777
for years,2775
relationship with,2774
ability to,2772
as to,2769
do a,2769
give them,2769
work in,2769
care about,2768
and try,2767
our family,2763
were a,2759
my husband,2758
set up,2758
was an,2757
is from,2755
i wont,2752
kids and,2751
are going,2750
people of,2748
when my,2746
love for,2745
the need,2745
on an,2742
we know,2741
now and,2734
they want,2734
saw the,2730
of us,2728
to feel,2728
a slight,2727
we see,2727
to remember,2723
them for,2722
interested in,2718
so as,2718
well i,2714
read the,2713
she could,2713
your own,2713
them all,2711
with you,2711
a simple,2710
next time,2709
to ask,2709
are now,2708
if she,2708
of how,2708
once you,2708
the spring,2708
they would,2708
we made,2708
yes i,2708
you like,2708
and will,2707
began to,2707
from to,2707
i hear,2707
the blog,2707
the streets,2707
think this,2707
himself and,2706
now that,2706
one can,2706
the beam,2706
this new,2706
to cover,2706
classes in,2705
he knows,2705
mrs grose,2705
out when,2705
the governess,2705
the mall,2705
the mother,2705
the pot,2705
the sweet,2705
this show,2705
onto the,2703
did it,2699
living in,2697
i never,2694
a half,2692
ago and,2687
the top,2685
a better,2684
get one,2683
from being,2676
happened to,2676
begins to,2674
eyes and,2670
and every,2668
series of,2668
important to,2667
the kind,2661
the government,2659
the stories,2659
i take,2657
the perfect,2657
has never,2656
time it,2656
is doing,2655
not yet,2654
an open,2653
and while,2652
have their,2651
the hostel,2650
into an,2648
focus on,2645
think about,2644
the main,2642
say it,2641
words of,2641
were no,2640
that way,2639
cant wait,2638
it does,2638
know how,2637
give me,2635
the reality,2633
that once,2630
that ive,2629
friends and,2625
can have,2623
we saw,2623
the future,2621
go out,2618
in all,2613
again i,2612
him to,2606
like my,2605
to reach,2601
off with,2598
do we,2593
the love,2589
of water,2585
is nothing,2583
did a,2580
the thought,2580
chance to,2579
can go,2574
what it,2574
years of,2573
them were,2571
that your,2569
even more,2568
over to,2568
with us,2564
so in,2562
was i,2562
dont like,2558
times that,2558
is quite,2556
take it,2555
the use,2555
that could,2554
level of,2553
the children,2553
might have,2552
years and,2551
from one,2548
the cross,2547
interest in,2546
its the,2542
mention that,2539
coming to,2536
the worlds,2534
find a,2532
but when,2530
the table,2529
use it,2529
try and,2526
with and,2525
all you,2521
for sure,2519
to just,2519
out for,2518
rocks and,2515
sure to,2514
you that,2513
and dont,2511
me but,2507
are on,2506
down to,2506
i felt,2505
with these,2505
and ive,2501
many of,2501
the game,2501
love a,2499
do i,2496
i understand,2496
on saturday,2494
believe in,2493
about to,2492
state of,2491
and at,2489
me in,2489
the large,2489
someone else,2488
the internet,2487
to let,2486
is only,2484
i wish,2482
it really,2480
to but,2480
i miss,2479
other than,2479
a baby,2478
an image,2478
are only,2475
have more,2475
this point,2470
he doesnt,2469
near the,2467
remove the,2467
reason why,2466
to remove,2466
my heart,2464
put on,2464
the history,2463
about minutes,2461
is because,2461
given to,2460
none of,2460
the list,2460
didnt want,2459
many people,2459
talk to,2456
will not,2453
then it,2451
other hand,2450
that one,2450
to enjoy,2449
because im,2445
the hospital,2437
not even,2435
until they,2435
today and,2434
would love,2433
and made,2429
her that,2428
my brain,2426
me the,2425
feels like,2422
is currently,2417
for now,2416
your business,2416
be going,2414
first thing,2413
have had,2403
the boys,2403
are super,2402
love you,2402
use the,2402
away in,2400
know i,2400
of other,2400
thoughts and,2400
there for,2399
my family,2398
have time,2396
up my,2393
to stop,2389
could see,2387
to protect,2387
the light,2386
can use,2379
you my,2379
more in,2378
at times,2375
he can,2375
one point,2375
due to,2374
of anything,2372
the home,2372
half the,2371
top of,2371
and people,2367
link to,2366
home and,2364
she would,2363
city and,2362
and everything,2360
whether or,2360
for being,2358
on one,2356
were both,2355
taking the,2354
to look,2354
to their,2354
point in,2352
the question,2352
to offer,2352
and only,2349
hand and,2348
meaning of,2348
there has,2347
in to,2344
or at,2344
i tried,2342
to finish,2342
so the,2341
wouldnt be,2341
back into,2339
because its,2338
how you,2338
the weather,2338
a series,2337
in south,2337
to speak,2337
in many,2335
how he,2334
not enough,2330
at am,2326
who i,2326
worth it,2325
and these,2324
thats not,2322
in its,2320
every other,2318
or what,2317
day that,2315
im glad,2314
until i,2313
he saw,2312
the sun,2312
to choose,2312
the case,2310
attempt to,2309
only one,2308
to admit,2308
back of,2307
for people,2307
that some,2307
the characters,2303
with only,2299
we take,2296
have one,2295
effort to,2294
they say,2292
guess what,2290
her own,2290
time when,2286
my new,2285
my children,2283
focused on,2282
good luck,2281
my phone,2278
in london,2276
in case,2274
was made,2271
if that,2268
up i,2268
come up,2267
have it,2266
the test,2266
the beauty,2265
than i,2264
my car,2262
the summer,2261
high school,2259
did the,2257
by my,2256
of people,2256
morning i,2255
all about,2254
book and,2254
a bad,2251
of any,2251
sitting in,2251
get into,2250
deal with,2249
were in,2248
because we,2247
three days,2247
by his,2245
my mind,2245
time in,2243
still be,2239
we need,2237
it just,2235
out i,2233
even when,2232
was all,2232
question of,2231
was only,2231
last few,2230
came to,2227
bit more,2226
but with,2226
the green,2225
thing about,2225
to add,2223
it means,2222
was one,2222
read it,2219
to and,2219
my mom,2217
can only,2214
than that,2214
form of,2213
who are,2210
she did,2208
these things,2208
so if,2207
put it,2206
yet another,2200
as one,2197
but to,2197
not being,2197
is pretty,2195
is very,2195
and find,2194
so this,2194
is about,2193
their lives,2193
three of,2193
a time,2192
as this,2189
if there,2187
i finally,2185
as far,2183
far as,2183
im really,2182
where is,2182
a beautiful,2181
the photo,2180
a month,2178
when a,2178
its like,2175
off and,2174
its just,2173
no matter,2173
matter how,2171
of things,2171
love and,2170
so he,2170
th century,2170
the band,2170
using the,2170
you havent,2170
a strong,2169
although the,2169
ended up,2169
i chose,2169
is actually,2169
bed and,2168
